Team,Region,Power rating,1st,2nd,Sweet 16,Elite Eight,Final Four,Champ.,Win
Akron 13,East,76.7,✓,7%,2%,0.40%,<0.1%,<0.1%,<0.1%
Yale 14,East,74.7,✓,6%,0.90%,0.10%,<0.1%,<0.1%,<0.1%
Saint Peter's 15,East,74.2,✓,5%,1%,0.20%,<0.1%,<0.1%,<0.1%
J'ville State 15,Midwest,73.2,✓,5%,1%,0.20%,<0.1%,<0.1%,<0.1%
Montana St. 14,West,74.3,✓,7%,1%,0.30%,<0.1%,<0.1%,<0.1%
Wright State 16,South,73.5,69%,3%,0.60%,<0.1%,<0.1%,<0.1%,<0.1%
Longwood 14,South,73.4,✓,6%,1%,0.10%,<0.1%,<0.1%,<0.1%
Delaware 15,South,73.6,✓,5%,0.90%,0.10%,<0.1%,<0.1%,<0.1%
Georgia St. 16,West,73.5,✓,1%,0.20%,<0.1%,<0.1%,<0.1%,<0.1%
Norfolk St. 16,East,71.4,✓,4%,0.50%,<0.1%,<0.1%,<0.1%,<0.1%
TXSO 16,Midwest,70.4,64%,2%,0.30%,<0.1%,<0.1%,<0.1%,<0.1%
CSU-Full. 15,West,71.8,✓,3%,0.30%,<0.1%,<0.1%,<0.1%,<0.1%
Bryant 16,South,71.6,31%,0.90%,0.20%,<0.1%,<0.1%,<0.1%,<0.1%
TX A&M-CC 16,Midwest,67.3,36%,0.70%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%
